date;hour;value;lat;lon;height
"2020-01-29";"03:00";38.11;54.75;21.4;250
"2020-01-29";"03:00";31.08;49.25;22.2;250
"2020-01-29";"03:00";23;49.75;22.2;250
"2020-01-29";"03:00";27.58;50.25;22.2;250
"2020-01-29";"03:00";26.07;50.75;22.2;250
"2020-01-29";"03:00";27.53;51.25;22.2;250
"2020-01-29";"03:00";26.12;51.75;22.2;250
"2020-01-29";"03:00";28.47;52.25;22.2;250
"2020-01-29";"03:00";25.86;52.75;22.2;250
"2020-01-29";"03:00";28.78;53.25;22.2;250
"2020-01-29";"03:00";28.31;53.75;22.2;250
"2020-01-29";"03:00";20.46;54.25;22.2;250
"2020-01-29";"03:00";37.88;54.75;22.2;250
"2020-01-29";"03:00";31.06;49.25;23;250
"2020-01-29";"03:00";26.18;49.75;23;250
"2020-01-29";"03:00";25.67;50.25;23;250
"2020-01-29";"03:00";26.33;50.75;23;250
"2020-01-29";"03:00";27.84;51.25;23;250
"2020-01-29";"03:00";27.41;51.75;23;250
"2020-01-29";"03:00";20.85;52.25;23;250
"2020-01-29";"03:00";28.58;52.75;23;250
"2020-01-29";"03:00";28.5;53.25;23;250
"2020-01-29";"03:00";30.12;53.75;23;250
"2020-01-29";"03:00";33.57;54.25;23;250
"2020-01-29";"03:00";37.47;54.75;23;250
"2020-01-29";"03:00";24.5;49.25;14.2;750
"2020-01-29";"03:00";22.11;49.75;14.2;750
"2020-01-29";"03:00";21.93;50.25;14.2;750
"2020-01-29";"03:00";19.16;50.75;14.2;750
"2020-01-29";"03:00";18.33;51.25;14.2;750
"2020-01-29";"03:00";16.6;51.75;14.2;750
"2020-01-29";"03:00";20.64;52.25;14.2;750
"2020-01-29";"03:00";14.29;52.75;14.2;750
"2020-01-29";"03:00";12.66;53.25;14.2;750
"2020-01-29";"03:00";13.56;53.75;14.2;750
"2020-01-29";"03:00";11.93;54.25;14.2;750
"2020-01-29";"03:00";27.05;54.75;14.2;750
"2020-01-29";"03:00";23.59;49.25;15;750
"2020-01-29";"03:00";21.03;49.75;15;750
"2020-01-29";"03:00";23.12;50.25;15;750
"2020-01-29";"03:00";23.06;50.75;15;750
"2020-01-29";"03:00";20.44;51.25;15;750
"2020-01-29";"03:00";17.25;51.75;15;750
"2020-01-29";"03:00";21.78;52.25;15;750
"2020-01-29";"03:00";13.66;52.75;15;750
"2020-01-29";"03:00";13.84;53.25;15;750
"2020-01-29";"03:00";14.07;53.75;15;750
"2020-01-29";"03:00";14.3;54.25;15;750
"2020-01-29";"03:00";28.61;54.75;15;750
"2020-01-29";"03:00";22.61;49.25;15.8;750
"2020-01-29";"03:00";23.16;49.75;15.8;750
"2020-01-29";"03:00";23.87;50.25;15.8;750
"2020-01-29";"03:00";16.69;50.75;15.8;750
"2020-01-29";"03:00";17.14;51.25;15.8;750
"2020-01-29";"03:00";16.65;51.75;15.8;750
"2020-01-29";"03:00";21.18;52.25;15.8;750
"2020-01-29";"03:00";12.27;52.75;15.8;750
"2020-01-29";"03:00";14.75;53.25;15.8;750
